"#name","Урыс-адыгэ школ псалъалъэ (Rus-Ady) (eastern)"
"#sourceLang","Russian"
"а","<div style=""margin-left:1em""><font color=""sienna"">I</font> <i>союз</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i class=""p""><font color=""green"">против.</font></i> ауэ; <b>солнце светит, а не греет</b> дыгъэ къопс, ауэ уигъэхуабэркъым; <b>он голоден, а отказывается есть</b> ар мэмэжалIэ, ауэ шхэн идэркъым</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i class=""p""><font color=""green"">присоед.</font></i> и, арщ; <b>он занят, а потому и не придет в театр</b> ар хущIыхьэркъым, абы къыхэкIкIи театрым къэкIуэнукъым</div>
<div style=""margin-left:1em""><font color=""sienna"">II</font> <i>частица <i class=""p""><font color=""green"">вопр.</font></i></i> атIэ, нтIэ; <b>в кино пойдем, а?</b> кином дыкIуэн, атIэ?</div>
<div style=""margin-left:1em""><font color=""sienna"">III</font> <i class=""p""><font color=""green"">межд.</font></i> а; <b>А, он приехал!</b> А, ар къэкIуащ!</div>"
"абажур","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II абажур, уэздыгъэм фIалъхьэ, нэм нэхур къемыуэн папщIэ; <b>голубой абажур</b> абажур щхъуантIэ</div>"
"абазинец","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II абазинка, <i class=""p""><font color=""green"">ж.</font></i> I абазэ цIыхухъу</div>"
"абзац","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II абзац, щатхкIэ сатырым хэIауэ иIэ къыщIэдзапIэ е хэIауэ тха сатыритIым яку дэт тхыгъэ; <b>начать строку с абзаца</b> сатырыр абзацкIэ (хэIауэ) къыщIэдзэн; <b>прочитать два абзаца</b> абзацитI къеджэн</div>"
"абрек","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II абрэдж</div>"
"абрикос","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II абрикос, хуэрэджэ е хуэрэджей</div>"
"абсолютный","<div style=""margin-left:1em""><i>-ая, -ое</i> нэгъэсауэ, дыдэ, абсолютнэ; <b>абсолютная тишина</b> даущыншэ дыдэ; <b>абсолютное большинство</b> и нэхъыбапIэ дыдэ; <b>абсолютная истина</b> абсолютнэ истина</div>"
"абсурд","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II мыхьэнэншэншагъэ</div>"
"абхазский","<div style=""margin-left:1em""><i>-ая, -ое</i> абхаз; <b>абхазский язык</b> абхазыбзэ</div>"
"абхазцы","<div style=""margin-left:1em""><i class=""p""><font color=""green"">мн.</font></i> (<i class=""p""><font color=""green"">ед.</font></i> абхазец, <i class=""p""><font color=""green"">м.</font></i> II, абхазка, <i class=""p""><font color=""green"">ж.</font></i> I) абхаз цIыху</div>"
"авангард","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> (<i class=""p""><font color=""green"">воен.</font></i>) дзэпашэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i class=""p""><font color=""green"">перен.</font></i> пашэ; <b>в авангарде борцов за мир</b> мамырыгъэм щIэбэнынымкIэ пашэхэм хэту</div>"
"авантюра","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I авантюрэ (емыгупсысауэ, шынагъуэ пылъу зыгуэрым зешцытыныгъэ); <b>рискованная авантюра</b> шынагъуэ зыпылъ таучэл щIыныгъэ</div>"
"авария","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I машинэ лажьэ гуэр зэжьэхэуэ сыту къутэныгъэ</div>"
"аварцы","<div style=""margin-left:1em""><i class=""p""><font color=""green"">мн.</font></i> (<i class=""p""><font color=""green"">ед.</font></i> аварец, <i class=""p""><font color=""green"">м.</font></i> II, аварка, <i class=""p""><font color=""green"">ж.</font></i> I) авар цIыху</div>"
"август","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II август, илъэсым и еянэ (шыщхьэIу) мазэ; <b>в начале августа</b> августым и пэшIэдзэм</div>"
"августовский","<div style=""margin-left:1em""><i>-ая, -ое</i> август, августым щыIэ; <b>августовская жара</b> августым щыIэ хуабэ</div>"
"авиамоделист","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II авиамоделист, лъатэ гуэрым и модель зыщI</div>"
"авиамодель","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> III авиамодель</div>"
"авиамодельный","<div style=""margin-left:1em""><i>-ая, -ое</i> авиамодель; <b>авиамодельный кружок</b> авиамодель кружок</div>"
"авиапочта","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> кхъухьлъатэ пощт</div>"
"авиационный","<div style=""margin-left:1em""><i>-ая, -ое</i> авиационнэ; <b>авиационная промышленность</b> авиационнэ промышленность</div>"
"авиация","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> авиацэ; <b>гражданская авиация</b> граждан авиацэ</div>"
"авось","<div style=""margin-left:1em""><i>частица</i> (<i class=""p""><font color=""green"">разг.</font></i>) хъужыкъуэм; <b>авось он придет</b> ар къакIуэ хъужыкъуэм</div>"
"австралийцы","<div style=""margin-left:1em""><i class=""p""><font color=""green"">мн.</font></i> (<i class=""p""><font color=""green"">ед.</font></i> австралиец, <i class=""p""><font color=""green"">м.</font></i> II, австралийка, <i class=""p""><font color=""green"">ж.</font></i> I) австралие цIыху</div>"
"австрийцы","<div style=""margin-left:1em""><i class=""p""><font color=""green"">мн.</font></i> (австриец, <i class=""p""><font color=""green"">м.</font></i> II, австрийка, <i class=""p""><font color=""green"">ж.</font></i> I) австрие цIыху</div>"
"автобаза","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I автобазэ, автомобилхэм я щытыпIэ, щызэрагъэпэщыж</div>"
"автобиография","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I автобиографие, цIыхум езым и гъащIэр къызэрекIуэкIар щитхыжа; <b>написать автобиографию</b> езым и гъащIэм и къекIуэкIыкIар тхыжын</div>"
"автобус","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II автобус</div>"
"автомат","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> автомат (механизм къарукIэ лэжьыгъэ гуэр езыр-езыру зыгъэзащIэ Iэмэпсымэ)</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (<i class=""p""><font color=""green"">воен.</font></i>) автомат</div>"
"автоматизация","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> автоматизацэ</div>"
"автоматический","<div style=""margin-left:1em""><i>-ая, -ое</i> автоматическэ, автоматкIэ лажьэ; <b>автоматическая телефонная станция</b> автоматкIэ лажьэ телефон станц</div>"
"автомашина","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I автомашинэ, машинэ; <b>грузовые автомашины</b> хьэлъэзешэ машинэхэр</div>"
"автомобиль","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I автомашинэ, машинэ; <b>грузовой автомобиль</b> хьэлъэзешэ машинэ; <b>легковой автомобиль</b> машинэ псынщIэ</div>"
"автомобильный","<div style=""margin-left:1em""><i>-ая, -ое</i> автомобиль, машинэ; <b>автомобильный завод</b> автомобиль завод, <b>автомобильная шина</b> машинэ шинэ</div>"
"автономия","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I автономие, я Iуэху зэрахьэжынымкIэ хуитыныгъэ нэс яIэныгъэ</div>"
"автономный","<div style=""margin-left:1em""><i>-ая, -ое</i> автономнэ; <b>автономная республика</b> автономнэ республикэ</div>"
"автор","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II автор, зыгуэр зытха, зэхэзылъхьа, къэзыгупсыса; <b>автор романа</b> романыр зытхар; <b>автор проекта</b> проектыр зыщIар</div>"
"авторитет","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II Iулыдж, щIыхь, <b>пользоваться авторитетом</b> щIыхь (Iулыдж) къыхуащIын</div>"
"авторитетный","<div style=""margin-left:1em""><i>-ая, -ое</i> щIыхь, пщIэ зыхуащI, Iулыдж зиIэ; <b>авторитетный ученый</b> щIыхь зыхуащI щIэныгъэлI; <b>авторитетное мнение</b> пщIэ зыхуащI Iуэху еплъыкIэ</div>"
"авторучка","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I авторучкэ</div>"
"ага","<div style=""margin-left:1em""><i class=""p""><font color=""green"">межд.</font></i> Iыхьы, ахьа; <b>ага! попался!</b> ахьа! ухуэза!</div>"
"агент","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II <i class=""p""><font color=""green"">в разн. знач.</font></i> агент; <b>агенты империализма</b> империализмэм и агентхэр; <b>агент по снабжению</b> къызэгъэпэщынымкIэ агент</div>"
"агентство","<div style=""margin-left:1em""><i class=""p""><font color=""green"">с.</font></i> II агентства; <b>телеграфное агентство</b> телеграфнэ агентства</div>"
"агитатор","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II агитатор, агитацэ езыгъэкIуэкI</div>"
"агитация","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> агитацэ: <b>вести агитацию</b> агитацэ егъэкIуэкIын</div>"
"агитировать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">несов.</font></i>, кого-что</i> и <i>без доп.</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> агитацэ егъэкIуэкIын; <b>агитировать среди молодежи</b> щIалэгъуалэм агитацэ дегъэкIуэкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> акъылэгъу къэщIын, къэгъэдэIуэн, къытегъэхьэн; <b>он его агитирует в кино</b> ар абы кином кIуэну къегъэдаIуэ</div>"
"агитпункт","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II агитпункт</div>"
"аграрный","<div style=""margin-left:1em""><i>-ая, -ое</i> аграрнэ, щIы Iуэхум епха, бгъэдэлъ; <b>аграрная реформа</b> аграрнэ реформэ</div>"
"агрессивный","<div style=""margin-left:1em""><i>-ая, -ое</i> агрессивнэ, теуэныгъэм хущIэкъу</div>"
