"#name",Урыс-адыгэ школ псалъалъэ (Rus-Ady) (eastern)
"#sourceLang","Russian"
"а","I союз
1. против. ауэ; солнце светит, а не греет дыгъэ къопс, ауэ уигъэхуабэркъым; он голоден, а отказывается есть ар мэмэжалIэ, ауэ шхэн идэркъым
2. присоед. и, арщ; он занят, а потому и не придет в театр ар хущIыхьэркъым, абы къыхэкIкIи театрым къэкIуэнукъым
II частица вопр. атIэ, нтIэ; в кино пойдем, а? кином дыкIуэн, атIэ?
III межд. а; А, он приехал! А, ар къэкIуащ!"
"абажур","м. II абажур, уэздыгъэм фIалъхьэ, нэм нэхур къемыуэн папщIэ; голубой абажур абажур щхъуантIэ"
"абазинец","м. II абазинка, ж. I абазэ цIыхухъу"
"абзац","м. II абзац, щатхкIэ сатырым хэIауэ иIэ къыщIэдзапIэ е хэIауэ тха сатыритIым яку дэт тхыгъэ; начать строку с абзаца сатырыр абзацкIэ (хэIауэ) къыщIэдзэн; прочитать два абзаца абзацитI къеджэн"
"абрек","м. II абрэдж"
"абрикос","м. II абрикос, хуэрэджэ е хуэрэджей"
"абсолютный","-ая, -ое нэгъэсауэ, дыдэ, абсолютнэ; абсолютная тишина даущыншэ дыдэ; абсолютное большинство и нэхъыбапIэ дыдэ; абсолютная истина абсолютнэ истина"
"абсурд","м. II мыхьэнэншэншагъэ"
"абхазский","-ая, -ое абхаз; абхазский язык абхазыбзэ"
"абхазцы","мн. (ед. абхазец, м. II, абхазка, ж. I) абхаз цIыху"
"авангард","м. II
1. (воен.) дзэпашэ
2. перен. пашэ; в авангарде борцов за мир мамырыгъэм щIэбэнынымкIэ пашэхэм хэту"
"авантюра","ж. I авантюрэ (емыгупсысауэ, шынагъуэ пылъу зыгуэрым зешцытыныгъэ); рискованная авантюра шынагъуэ зыпылъ таучэл щIыныгъэ"
"авария","ж. I машинэ лажьэ гуэр зэжьэхэуэ сыту къутэныгъэ"
"аварцы","мн. (ед. аварец, м. II, аварка, ж. I) авар цIыху"
"август","м. II август, илъэсым и еянэ (шыщхьэIу) мазэ; в начале августа августым и пэшIэдзэм"
"августовский","-ая, -ое август, августым щыIэ; августовская жара августым щыIэ хуабэ"
"авиамоделист","м. II авиамоделист, лъатэ гуэрым и модель зыщI"
"авиамодель","ж. III авиамодель"
"авиамодельный","-ая, -ое авиамодель; авиамодельный кружок авиамодель кружок"
"авиапочта","ж. I, мн. нет кхъухьлъатэ пощт"
"авиационный","-ая, -ое авиационнэ; авиационная промышленность авиационнэ промышленность"
"авиация","ж. I, мн. нет авиацэ; гражданская авиация граждан авиацэ"
"авось","частица (разг.) хъужыкъуэм; авось он придет ар къакIуэ хъужыкъуэм"
"австралийцы","мн. (ед. австралиец, м. II, австралийка, ж. I) австралие цIыху"
"австрийцы","мн. (австриец, м. II, австрийка, ж. I) австрие цIыху"
"автобаза","ж. I автобазэ, автомобилхэм я щытыпIэ, щызэрагъэпэщыж"
"автобиография","ж. I автобиографие, цIыхум езым и гъащIэр къызэрекIуэкIар щитхыжа; написать автобиографию езым и гъащIэм и къекIуэкIыкIар тхыжын"
"автобус","м. II автобус"
"автомат","м. II
1. автомат (механизм къарукIэ лэжьыгъэ гуэр езыр-езыру зыгъэзащIэ Iэмэпсымэ)
2. (воен.) автомат"
"автоматизация","ж. I, мн. нет автоматизацэ"
"автоматический","-ая, -ое автоматическэ, автоматкIэ лажьэ; автоматическая телефонная станция автоматкIэ лажьэ телефон станц"
"автомашина","ж. I автомашинэ, машинэ; грузовые автомашины хьэлъэзешэ машинэхэр"
"автомобиль","ж. I автомашинэ, машинэ; грузовой автомобиль хьэлъэзешэ машинэ; легковой автомобиль машинэ псынщIэ"
