"#name","Адыгабзэм изэхэф гущыIалъ (Ady) (western)"
"а","I
1. Бэ пчъагъэм итэу, ящэнэрэшъхьэр къикIэу, лъыIэсрэ глаголмэ ясубъект къегъэлъагъо — личный показатель субъекта третьего лица множественного числа переходных глаголов
Атхы — они пишут, атхыгъ — они написали
2. Бэ пчъагъэм итэу, ящэнэрэшъхьэр къикIэу, едзэкIыгъэ объектыр къыгъэлъагъоу шъхьэ пчъагъэ зиIэ глаголымэ апытыр ары — личный показатель косвенного объекта третьего лица, множественного числа в многоличных переходных глаголах
АдэIэпыIагъ — он помог им
АдэгущыIагъ — он поговорил с ними
3. Бэ пчъагъэм итэу, ящэнэрэшъхьэр къикIэу, версиер къызэрыкIрэ глаголмэ едзэкIыгъэ объектыр къыгъэлъагъоу къапэхьэ — личный показатель косвенного объекта третьего лица, множественного числа в производных глаголах версии
Афидыгъ — сшил для них
АфишIагъ — сделал для них
4. Бэ пчъагъэм итэу, ящэнэрэшъхьэр къикIэу, гъусэныгъэр къызэрыкIрэ глаголмэ едзэкIыгъэ объектыр къыгъэлъагъоу къапэхьэ — личный показатель косвенного объекта третьего лица, множественного числа в производных глаголах союзности
Адидыгъ — сшил вместе с ними
Адеджагъ — учился вместе с ними
II аффикс органической принадлежности третьего лица множественного числа
Шъхьэу пкъыгъор зыщыщэу зыер къэзгъэлъэгъорэ бэ пчъагъэм ит ящэнэрэшъхь
Ашъхь — их головы
Ан — их глаза
Ашъхьэ фитэу мэпсэух, анэ къэплъэжьыгъ
III
1. УпчIэ гущыIэгъус — вопросительная частица
УкIощта? — Пойдешь ли?
Уеджэщта? — Будешь ли учиться?
2. Къэджагъэм ыIуагъэм кIэупчIэу къаIоу мэхъу — вопросительная частица, употребляемая самостоятельно:
А? Сыда пIуагъэр? Что?
3. Къэзгъэпытэрэ гущыIэгъус — утвердительная частица
Да, ащ сымыкIуагъа, семылъэIугъа, сымыгъыгъа — я ли не пошла туда, я ли не просила, я ли не плакала
IV гущыIэгъус
А кIал, зэ щыгъэт
А сикIал, ар умыIо
V (ахэр)
мест. тот
А лIыр лIы дэгъу
А шыр шы чъэр
VI межд. выражает сожаление
А щыбгъэтмэ нахьышIу
А умыIо, укIэгъожьын"
"абадзэ","(абадзэр, абадзэхэр)
абазинец
Абадзэхэр — абхъаз лъэпкъых
Абадзэхэр Къэрэщэе-Щэрджэс республикэм исых
Абадзэ унагъохэр Улапэ дэсых
Ар абэдзэ кIэлэ дэгъу"
"абан","
(абанэр, абанэхэр)
лунка
ЧIы гъэушъэбыгъэ укурбыгъ
Картоф абан
ХэтэрыкIхэр абанэ-абанэу агъэтIысых"
"абас","(абасыр, абасхэр)
двадцать копеек
АхъщацI
Чапыч тIокI
Тыжьын абас
Абэситфыр — сом
АбаскIэ къыщэфыгъ"
"абдзах","
(абдзахэр, абдзахэхэр)
1. абадзехи (одно из адыгских племен); абадзехский, -ая, -ое
Адыгэм щыщ лъэпкъ
Хьакурынэхьаблэ абдзахэхэр дэсых
Абдзэхэ пшъашъэр дэбжъыкъу кIыхь хыр.
◊ Абдзэхэ пхъэц — настоящий абадзех
2. Абадзехия
Хэку
Абдзахэ къикIыгъэ хьакI
Абдзахэ кIуагъэ"
"абдзэхабз","(абдзэхабзэр)
абадзехский диалект
Абдзахэмэ абз
Письмэр абдзэхабзэкIэ тхыгъэ
А кIалэр абдзэхэбзэ дэдэкIэ мэгущыIэ"
"абрагъу","
(абрагъор, абрагъохэр)
большой, -ая, -ое
КIэлэ абрагъо иI
О кIэлэ абрагъор ощына?"
"абрикос","
(абрикосыр, абрикосхэр)
абрикос
1. Абрикосыр къызпыкIэрэ чъыг
Абрикосыр къызэIуихыгъ
А сад цIыкIум зы абрикос чъыг дэтыгъ КI. Т.
2. Абрикос чъыгым къыпыкIэрэ пхъэшъхьэ-мышъхьэр ары
Тучаным абрикос щащэ"
"абхъаз","
(абхъазыр, абхъазхэр)
1. абхазец; абхазский, -ая, -ое
Абхъаз Республикэм ис цIыф лъэпкъ
Абхъазхэр хы Iушъом Iусых
Абхъаз кIал
2. Абхазия
Абхъазхэр зэрыс республик
Абхъазым къикIыгъэ хьакI"
"абэ","(абэр, абэхэр)
верхняя одежда в виде ризы у мусульманских священников
Ефэндхэм, хьаджэхэм ащыгърэ щыгъын кIыIутелъ
Иабэ кIэфэфыкIэу ефэндыр къэсыгъ"
"аванс","(авансыр, авансхэр)
аванс
ЛэжьапкIэм щыщэу лэжьакIом къылэжьыгъэм е къылэжьыщтэу къыратыжьыщтым хагъэкIыжьынэу ратырэ ахъщэр е лэжьыгъэр ары
Рабочэм аванс ратыгъ
МэкъумэщышIэмэ аванс аратыгъ"
"август","(августыр)
август
Календарь илъэсым ияенэрэ мазэм ыцI
Августыр гъэмэфэ мэзищым ящэнэрэ
Августыр гъэмэфэкIэ маз"
"авиацие","(авиациер)
авиация
1. Зэрыбыбхэрэ амалхэр, ошъогу флотыр
Гражданскэ авиацие
Дзэ авиацие
2. Жьым зэрыщыбыбхэрэ аппаратхэмкIэ жьым ищыбыбыкIэ ехьылIэгъэ теориемрэ практикэмрэ
АвиациемкIэ гъэсагъэ"
"автобиографие","(автобиографиер, автобиографиехэр)
автобиография
Къызыхъугъэ уахътэр, къызыщыхъугъэр, унагъоу къызэрыхъухьагъэр, Iофэу ышIагъэхэр, зыхэтыгъэхэр, джы ышIэрэр, зэкIэ къырыкIуагъэр ытхыныр, къыIотэныр
Иавтобиографие зэIукIэм къыщиIотагъ"
"автобус","(автобусыр, автобусхэр)
автобус
ЦIыфхэр зэрызэращэрэ автомобилэу бэу тIысыпIэ зиIэр
Автобусыр къалэм къикIыгъ
АвтобускIэ кIуагъэ"
"автомат","(автоматыр, автоматхэр)
автомат
1. ЫкIоцIрэ механизмэмкIэ ежьыр-ежьырэу Iоф зышIэрэ аппарат
Телефон-автомат
Автомат-касс
2. Щабэ зыдэлъ шхонч
Автоматхэр аIыгъэу дзэкIолIхэр блэкIыгъэх"
"автоматчик","(автоматчикыр, автоматчикхэр)
автоматчик
Шхонч автоматыр зыIыгъэу, ащ игъэуакIэ фэгъэсагъэр ары
Автоматчикыр пыим еуагъ"
"автомобиль","(автомобилыр, автомобильхэр)
автомобиль
ЗэрызекIохэрэ ыкIи IапIэхэр, хьылъэхэр зэрызэращэрэ машин
Фабрикэм автомобильхэр иIэх
ТиунагъокIэ автомобиль тиI"
"автономие","(автономиер)
автономия
Ежьыр-ежьырэу хэкум иIоф зэрихьэжьынкIэ фитныгъэ иIэныр
Я 20-рэ илъэсхэм Адыгеем автономие иIэ хъугъагъэ"
"автор","(авторыр, авторхэр)
автор
Произведение горэ: роман, рассказ, поэм, учебник е пэмыкI горэ зытхыгъэр ары
Тхылъым щыкIагъэу иIэхэр авторым рагъэлъэгъужъыгъ"
"авторитет","(авторитетыр)
авторитет
Лъытэныгъ
Авторитет зиIэ цIыф — цIыфэу алъытэу, зиIо цIыфмэ апхырыкIырэр ары
Агрономым мэкъумэщым авторитет щыриI"
"агент","(агентыр, агентхэр)
1. агент
Зы IофшIапIэ горэм ехьылIагъэу ащ иполномочие зэратыгъэ IофшIакIу
Госстрахым иагент
2. шпион
Зыгорэм ифедэкIэ пыиныгъэ Iоф зезыхьэрэр
Агентхэр хэгъэгум къырадзагъэх"
"агитатор","(агитаторыр, агитаторхэр)
агитатор
ЦIыфмэ агитацие Iоф адэзышIэрэр ары
Агитаторым кварталыр къыкIухьагъ, депутатэу хадзыщтым иавтобиографие цIыфмэ къафеджагъ"
"аграрнэ","аграрный, -ая, -ое
ЧIыгум игъэфедэн ехьылIагъ
Аграрнэ Iофыр
◊ Аграрнэ хэгъэгу — чIыгулэжьыным инахьыбэмкIэ пылъ хэгъэгу
Тихэгъэгу аграрнэ хэгъэгоу зэрэщытыгъэм фэмыдэжьэу, индустриальнэ хэгъэгу пэрытэу хъугъэ"
"агрегат","(агрегатыр, агрегатхэр)
агрегат
Iоф зэдашIэнэу машинитIу е нахьыбэу зэхэтэу гъэпсыгъэныр
Агрегатмэ заводым Iоф щашIэ"
"агрессор","(агрессорыр, агрессорхэр)
агрессор
НэмыкI хэгъэгур ыштэнэу тебанэрэр, техакIо
Агрессорыр мысэ"
"агроном","(агрономыр, агрономхэр)
агроном
ЧIыгу лэжьыкIэмрэ мэкъумэщ зехьакIэмрэ яхьылIагъэу гъэсагъэр
Агрономыр губгъом кIуагъэ
Сятэ агроном IапэIас"
"агрономие","(агрономиер)
агрономия
ЧIыгулэжьыкIэмрэ мэкъумэщ зехьакIэмрэ яхьылIэгъэ шIэныгъ
Агрономием зэриIорэм тетэу фермерым игубгъохэр елэжьых"
"агротехникэ","(агротехникэр)
агротехника
Мэкъумэщым илэжьыкIэ систем
МэкъумэщышIэм агротехникэм тетэу ичIыгу елэжьы"
"адрабгъу","(адрабгъур, адрабгъухэр)
противоположная сторона (реки, озера)
АдрэкI
Псыхъом, хыкъумым, хым адыкIэ зэпрыдзыгъэ чIыгур
Псыхъом тызыIохьэм, паромыр адрабгъу щыIагъ"
"адрес","(адресыр, адресхэр)
адрес
1. Письмэр, посылкэр, нэмыкIыр зыдакIорэмрэ зыфакIорэмрэ къэзгъэлъагъоу тыратхэрэр
Конвертым адресыр тыратхагъ
2. Юбилеим е нэмыкI гушIуагъо горэм ехьылIагъэу тхыгъэу зэрафэгушIохэрэр
ТхакIор илъэс 50 зэрэхъугъэм ехьылIагъэу адрес ратыгъ"
"адрэ","(адрэр, адрэхэр)
тот, эта, то
НэмыкIыр
Мыдрэм нахьи, адрэр нахь дэгъу
Зыр мажъо, адрэр мапхъэ
Адрэми мыдрэми садэгущыIагъ"
"адрэкI","(адрэкIыр)
еплъ <<адрабгъу>>"
"адрэмыкI","(адрэмыкIэр)
следующий день за послезавтрашним днем
НеущмыкIэ къыкIэлъыкIорэ мафэр ары
Неущи, неущмыкIи, адрэмыкIи а Iофым тыпылъыщт
НеущмыкIэ сыкIон слъэкIыщтэп, ау адрэмыкIэ къалэм сыкIощт"
"адыгабзэ","(адыгабзэр)
1. адыгский язык
Адыгэхэр зэрыгущыIэрэ бзэр ары
Адыгабзэ ешIэ
АдыгабзэкIэ тхылъхэр хаутых
2. Адыгская письменность, литература
Адыгабзэр къыземыжьэм, джэныкъо яжьэм лъэужыбэр фэтэшIы Т. Ц."
"адыгагъ","(адыгагъэр)
адыгство: совокупность положительных качеств адыгских народных обычаев: человечность, чуткость, гостеприимство, скромность
Адыгэ шэн, адыгэ хабз, цIыфыгъ
Адыгагъэ хэлъ
◊ Адыгагъэм рекIы — преисполненный «адыгагъэ»"
"адыгэ","
(адыгэр, адыгэхэр)
адыг, адыгский, -ая, -ое, черкес, черкесский, -ая, ое
Адыгэхэр бэшIагъэу Кавказым исых
Адыгэм хьакIэ икIас гущ.
Адыгэ Республик"
"адэ","I нареч. там. къып. <<мыдэ>>
Адэ щытэу къаплъэ нахь, мыдэ къакIорэп
Адэ чыжьэу тракторыр щыжъощтыгъэ
II гущыIэгъус частица
1. выражает уверенность
ГущыIэр егъэпытэ
Адэ ары умыдэщтми Iофыр зытетыр
2. выражает удивление
ЫгъэшIагъоу
Адэ, джыри укIуагъэба?
Адэ, джы нэс пшIагъэр сыда?
3. с оттенком насмешки
Римыпэсэу, кIэнакIэу
Адэ хадзын ар, хамыдз хъуна!
III (адэр, адэхэр)
опухоль
Шъомрэ лымрэ азыфагу такъырэу къыхэкIырэ уз
Ыпшъэ адэ къыхэкIыгъ
Адыгэмэ адэр хъоуи бзэуи мэхъу аIо"
"адэгущэ","межд. выражает сожаление
ГухэкI мэхьанэр къекIы
Адэгущэ, сыдэу зи IэбакIэ умышIэра!
Адэгущэ, сыдэу шъуагъо ухъугъа!"
"адэдэм","нареч. тотчас
Асыхьатым
Тэ станцием тызэрэнэсэу адэдэм мэшIокур къэсыгъ"
"аджал","(аджалыр)
смерть, смертный час
Хьадэгъу
Аджалым рифыжьагъ
Аджалыщэр къытефагъ"
"азан","(азаныр)
призыв к молитве, провозглашаемый с минарета
Нэмаз шIыгъом ехьылIагъэу азэнаджэр зэраджэрэр
Азэнаджэр джагъэ"
"азанджапI","(азанджапIэр, азанджапIэхэр)
минарет
Мэщытым ышъхьагъ тетэу е ыбгъукIэ щытэу, дэкIояпIэхэр зиIэ лъэгапIэу азэнаджэр зыщыджэрэр ары
Мэзэу шъхьащытым мэщытышхом иазанджапIэ закъор лъагэу, мэзэныкъор, къэхэлъэ тамыгъэм фэдэу шъхьащысэу, къыхэщы КI. Т."
"азат","(азатыр, азатхэр)
вольноотпущенник
Ипщ е зием шъхьэфит ышIыгъэр
Азат ышIыгъ
Азатыр пщылIыжьэп"
"азгъэн-тузгъэн","обессиленный, -ая, -ое
Зэщыкъон, хъыбэеу, одэу хъун
Азгъэн-тузгъэным нэсыгъ"
"академие","(академиер, академиехэр)
академия
1. Апшъэрэ научнэ IофшIапI
НаукэхэмкIэ Урысыем и Академие
2. Апшъэрэ еджапIэмэ ащыщхэмэ ацI
Дзэ академиер
Дзэ-медицинэ академиер къыухыгъ"
"академик","(академикыр, академикхэр)
академик
Академием хэтыр
Ар академик цIэрыIу"
"акац","(акацэр, акацэхэр)
акация
ЧъыгыцIэ
Акацэм икъэгъагъэмэ мэ IэшIу къапехы
Акэцэ къэгъагъ
Акэцэ чъыгхэмрэ пцел шъхьэпырацэхэмрэ захиутыгъуагъэу, блэкIыгъэ бэлахьмэ агъэщтагъэм фэдэу, адыгэ къоджэ цIыкIур чIыгум хэуIубагъэу щыс КI. Т."
"акт","(актыр, актхэр)
акт
1. ХъугъэшIагъэр къыушыхьатэу атхырэ тхылъ
Акт агъэуцугъ
2. Пьесэм щыщ пычыгъу
АктитIу хъоу пьесэ ытхыгъ"
"актив","(активыр)
актив
1. Организацием, коллективым нахь чанхэу хэтхэр
Хасэм иактив
2. Предприятием мылъкоу иIэм ыуас
Предприятием иактив миллионым къехъу"
"активист","(активистыр, активистхэр)
активист, -ка
Активым щыщэу чанэу, ыгу етыгъэу Iоф зышIэрэр
Анахь активист дэгъухэр зэIукIэм агъэкIуагъэх"
"активнагъ","активность
Чаныгъ, гуетныгъ
Ащ активнагъэ хэлъэп"
"акушер","(акушерыр, акушерхэр)
акушер
Бзылъфыгъэ лъэрмыхьэм кIэлэцIыкIу ыгъотынэу хъумэ ыкIи кIалэ зигъотыхэкIи медицинэмкIэ IэпыIэгъу езытэу, ащ фэгъэсагъэр ары, врач"
"акушерк","(акушеркэр, акушеркэхэр)
акушерка
Мамыку
Врачым иIэпыIэгъоу бзылъфыгъэр хъушъэн зихьэкIэ, медицинэ IэпыIэгъу езытырэр
Акушеркэр сымаджэм дэжь къэкIуагъ"
"акцент","(акцентыр, акцентхэр)
акцент
Ежь ыбзэ фэшъхьаф нэмыкIыбзэкIэ гущыIэрэм къыхэфэ хабзэу макъэмэ, гущыIэмэ якъэIуакIэ фэмыгъэтэрэзыныр
Акцентышхо иIэу урысыбзэкIэ мэгущыIэ
Зы акцент горэ имыIэу адыгабзэкIэ къабзэу мэгущыIэ"
