template,freq
*,14027
*у,4973
*ри,3753
*щ,3387
*хэм,2616
*рэ,2610
*ми,2597
*хэр,2557
къ*,2330
къы*,2247
*т,2244
*ащ,2206
у*,2143
*а,2082
и*,2062
*ауэ,1933
я*,1900
*ым,1899
*мэ,1881
*и,1873
*р,1842
*кIэ,1833
*э,1784
*м,1771
*къым,1720
*ыр,1710
сы*,1541
зы*,1414
къа*,1339
щы*,1298
*эу,1277
*ар,1267
зэры*,1239
къи*,1214
ды*,1213
щI*,1168
къэ*,1164
*хэри,1082
*урэ,1077
*рт,1035
*ам,1026
*…,972
*эр,957
*хэмрэ,954
*эм,951
*ат,909
с*,873
къ*у,864
зэ*,846
*эну,807
щIэ*,799
хуэ*,796
*эри,796
п*,765
ху*,756
*ти,748
*ыну,745
*эн,739
*мрэ,730
*хэми,730
е*,727
т*,726
къ*ри,718
*щи,679
*н,667
*ырт,666
*акъым,663
къ*ащ,657
У*,638
*ын,633
къыщы*,633
*ну,632
къ*а,629
къы*у,612
*амэ,607
мы*,596
Сы*,587
*ами,577
къыщI*,575
ири*,567
*уи,559
къ*ауэ,559
*ымрэ,556
къыс*,551
игъэ*,545
*ху,535
те*,531
*мкIэ,530
*кIи,529
къе*,520
къыт*,514
фы*,506
*хэу,497
къы*ри,491
*ати,489
дэ*,481
щи*,480
къри*,470
*щIэ,470
*уэ,467
*-,461
хэ*,459
ща*,458
*хьэ,457
у*у,450
*эхэм,450
къыху*,443
*эщ,437
*эрэ,437
зэра*,436
къ*мэ,435
зэри*,432
къы*ащ,432
*ащи,427
*эрт,427
*хэмкIэ,426
къ*ар,426
къызэры*,425
*ахэм,423
*эхэр,423
сыкъ*,419
ягъэ*,417
лъ*,417
*тэкъым,416
щ*,415
ира*,414
къы*а,410
*эми,407
*къэ,401
къ*щ,401
да*,400
фI*,400
*хьа,400
*жь,395
*эмэ,394
*щI,389
*ращ,380
къып*,379
са*,376
*эж,371
*хьащ,371
къыщIэ*,370
къу*,368
*эжащ,367
нэ*,365
*шхуэ,363
*эт,360
къ*рэ,360
*рти,359
Iу*,359
укъ*,359
Iэ*,355
къыдэ*,353
*жащ,346
щIы*,342
ди*,340
*экIэ,338
къ*т,338
сы*у,336
Ды*,336
И*,335
*ахэр,329
мэ*,326
къо*,325
щIа*,323
къысху*,321
*хь,319
къыхуэ*,319
къ*ми,319
къ*ам,318
*ыжу,315
къ*э,315
къы*ар,314
*хэрщ,314
*ари,314
къы*ауэ,313
за*,310
*ыркъым,309
иригъэ*,307
Къы*,306
къ*къым,306
*ынщ,305
у*мэ,304
*ж,302
*жу,302
хъу*,302
*ынущ,300
*хьэу,299
*ным,298
щIи*,297
*энщ,296
*ыж,295
яхуэ*,293
си*,291
*щIа,290
къ*ат,290
со*,289
*ымкIэ,289
сыщы*,286
къ*хэм,286
зыгъэ*,285
се*,285
