w_bigram,freq
щIыхь зиIэ,330
Урысей Федерацэм,313
гъэм къалъхуащ,304
сыт хуэдэ,296
сыт щыгъуи,292
ипкъ иткIэ,286
цIэр зезыхьэ,280
дуней псом,274
сайтым зэритымкIэ,262
Лъэпкъ Iущыгъэ,259
Псалъэм папщIэ,258
нэхърэ нэхъ,239
ныбжьыр илъэс,226
Къэбэрдей-Балъкъэр Республикэм,218
Хуабэр махуэм,214
дунейпсо махуэщ,214
Налшык къалэ,212
япэ дыдэу,205
Кавказ Ищхъэрэм,199
ящыщ зым,198
Хэку зауэшхуэм,197
гугъу тщIы,195
цIыхубэ артист,190
Псом хуэмыдэу,189
Совет Союзым,186
фIы дыдэу,172
псом хуэмыдэу,171
куэд щIауэ,170
икIи абы,169
махуэм градус,164
махуэ къэс,158
КIуэкIуэ Казбек,153
илъэс куэдкIэ,151
къэрал университетым,150
Абы къыхэкIыу,147
Iэмал имыIэу,145
Къэбэрдей-Балъкъэр къэрал,145
сыту жыпIэмэ,144
дунейм ехыжащ,141
2022 гъэм,140
Сыт хуэдэ,139
къалэм дэт,137
Кавказ Ищхъэрэ,134
Налшык къалэм,132
пшэр техьэ-текIыу,131
хуей хъуащ,130
техьэ-текIыу щыщытынущ,129
Налшык пшэр,128
къалъхуащ совет,124
псалъэм папщIэ,124
нэхъ мащIэ,124
командэ къыхэхам,122
1942 гъэм,117
Iэтащхьэ КIуэкIуэ,115
КъБР-м щIыхь,114
дэт курыт,112
сытым дежи,112
щIэныгъэхэмкIэ доктор,111
Адыгэ Республикэм,110
Абы щыгъуэми,108
КъБР-м щыIэ,107
цIэ лъапIэр,106
хамэ къэрал,103
ящыщ зыщ,102
къалъхуащ урысей,102
жэщым градус,102
2023 гъэм,102
иджыри къэс,101
Совет Нэхъыщхьэм,100
абы щыгъуэ,100
Абы щыгъуэм,100
ауэ абы,99
Путин Владимир,98
2020 гъэм,98
илъэс къэс,98
сом мелуан,97
щыхьэт тохъуэ,96
шэч хэлъкъым,96
щхьэкIэ жыпIэмэ,96
Абы щыгъуэ,94
псори зэхэту,93
япэ увыпIэр,93
2021 гъэм,93
1943 гъэм,91
1941 гъэм,90
гъэм СССР-м,90
зэхъуэкIыныгъэхэр хэлъхьэным,89
абы щыгъуэм,89
цIыху мин,89
гъэм Москва,88
2019 гъэм,87
кIуэ пэтми,87
гъэм дыгъэгъазэм,86
япкъ иткIэ,86
гъэ лъандэрэ,86
Абы иужькIэ,85
Адыгэ Хасэм,84
хамэ къэралхэм,84
гъэм дунейм,84
жыпIэ хъунущ,84
унафэ ещI,83
Iэмал иIэкъым,83
дэтхэнэ зыми,82
жылагъуэ лэжьакIуэ,81
гъэм жэпуэгъуэм,81
Налшык дэт,80
къуажэм дэт,80
Адыгэ псалъэ,79
щэнхабзэмкIэ щIыхь,78
мыхьэнэ зиIэ,78
нобэр къыздэсым,78
жагъуэ зэрыхъунщи,78
жэщым градуси,77
дыщэ медалыр,76
1945 гъэм,76
сом мин,76
Ауэ щыхъукIи,75
КъБР-м щыIэм,75
цIыхубэ артисткэ,74
куэдкIэ нэхъ,73
Президент Путин,73
шэч хэмылъу,72
Дунейпсо Адыгэ,72
къалъхуащ КъБР-м,72
адыгэ лъэпкъым,72
Абы хэтащ,72
курыт еджапIэ,72
Абыхэм ящыщщ,71
ЩоджэнцIыкIу Алий,71
гъэм абы,71
гъэм къыщыщIэдзауэ,71
Ауэ абы,71
гъэм мэлыжьыхьым,70
тхылъ тедзапIэм,70
щытын хуейщ,70
кIуэцI IуэхухэмкIэ,69
УФ-м щIыхь,69
Олимп Джэгухэм,69
гугъу тщIа,69
гъэ пщIондэ,69
гъэм Урысейм,69
1957 гъэм,68
мыхьэнэшхуэ зиIэ,68
щыIэ МВД-м,68
щыхьэт техъуэ,67
гъэм фокIадэм,67
цIэр зэрихьэу,67
гурэ псэкIэ,67
мыхьэнэшхуэ иIэщ,67
къэрал программэм,66
Абыхэм ящыщу,66
щыпсэу лъэпкъхэм,65
курыт еджапIэм,64
гъэм Налшык,64
Апхуэдэ щIыкIэкIэ,64
Къэрал Думэм,64
узыншагъэр хъумэнымкIэ,64
гъуазджэхэмкIэ щIыхь,63
гъэм щIышылэм,63
гулъытэ хэха,62
жиIащ абы,62
жагъуэ зэрыхъущи,61
Ищхъэрэ федеральнэ,61
гъэм накъыгъэм,61
дунейм къытехьащ,61
Олимп джэгухэм,61
цIыху куэд,60
гъэм бадзэуэгъуэм,60
1991 гъэм,60
Социалист Лэжьыгъэм,60
псом нэхърэ,59
куэд дыдэ,59
КъБР-м щэнхабзэмкIэ,58
гъэм гъатхэпэм,58
IуэхукIэ Къэбэрдей-Балъкъэр,57
къыдигъэкIа унафэ,57
Фигу къэдгъэкIыжынщи,57
сыт щхьэкIэ,57
абы щхьэкIэ,57
Абыхэм ящыщ,56
щIалэ цIыкIум,56
Сыту жыпIэмэ,56
Iэдакъэ къыщIэкIа,56
Осетие Ищхъэрэ,56
1956 гъэм,56
драмэ театрым,56
Федерацэм футболымкIэ,56
Дуней псом,55
спортымкIэ щIыхь,54
илъэси 100,54
къиуха нэужь,54
щыт пэтми,53
1940 гъэм,53
1944 гъэм,53
щIалэ цIыкIур,53
гъэм щэкIуэгъуэм,53
сом мелард,52
Егоровэ Татьянэ,52
Правительствэм унафэ,52
чемпион хъуащ,51
илъэс зыбжанэ,51
махуэм щегъэжьауэ,51
1946 гъэм,51
Къэрал саугъэтыр,51
Мусуков Алий,50
икIи абыхэм,50
Сыт щхьэкIэ,50
гъэм США-м,50
гъэм мазаем,50
1939 гъэм,49
щIыналъэм хыхьэ,49
хэтащ КъБР-м,49
унафэ ищIащ,48
Бахъсэн щIыналъэм,48
къэрал драмэ,48
Псори зэхэту,48
ижь-ижьыж лъандэрэ,48
дунейм ехыжа,48
игу къегъэкIыж,48
гъэм щегъэжьауэ,47
1936 гъэм,47
2018 гъэм,47
1938 гъэм,47
унафэщIу щыта,47
гъэм мэкъуауэгъуэм,47
фIэщ мэхъу,47
къару егъуэт,47
Абы лъандэрэ,47
Налшык уфауэ,47
мурад ищIащ,47
илъэс куэд,46
районым хыхьэ,46
зэхъуэкIыныгъэхэр хэлъхьэн,46
къалъхуащ къэрал,45
нэхъ лъапIэ,45
дэнэ къэна,45
Апхуэдэу щыт,45
лъэпкъ проектым,45
Урысей МВД-м,44
къыдигъэкIа Указ,44
Москва дэт,44
къэрал кIуэцI,44
2012 гъэм,44
гъэм шыщхьэуIум,44
бэнэкIэ хуитымкIэ,44
нэхъ мыхъуми,44
