w_bigram,freq
Урысей Федерацэм,158
цIэр зезыхьэ,149
ипкъ иткIэ,145
КIуэкIуэ Казбек,143
щIыхь зиIэ,137
сыт хуэдэ,136
сыт щыгъуи,132
Кавказ Ищхъэрэм,129
дуней псом,124
Къэбэрдей-Балъкъэр Республикэм,122
Iэтащхьэ КIуэкIуэ,121
Псалъэм папщIэ,119
Налшык къалэм,109
Налшык къалэ,105
икIи абы,105
Кавказ Ищхъэрэ,104
гугъу тщIы,101
нэхъ мащIэ,94
ныбжьыр илъэс,94
куэд щIауэ,91
Хэку зауэшхуэм,89
Къэбэрдей-Балъкъэр къэрал,88
псом хуэмыдэу,88
Абы къыхэкIыу,88
къалэм дэт,88
Егоровэ Татьянэ,86
сом мелуан,86
Псом хуэмыдэу,86
2019 гъэм,85
Абы хэтащ,85
нэхърэ нэхъ,85
дэт курыт,83
фIыщIэ яхуищIащ,82
къэрал университетым,82
хэтащ КъБР-м,81
2020 гъэм,81
Путин Владимир,81
псори зэхэту,79
илъэс къэс,79
япэ дыдэу,76
Адыгэ Хасэм,76
КъБР-м щыIэ,76
гулъытэ хэха,76
ящыщ зым,75
япкъ иткIэ,74
Ищхъэрэ федеральнэ,70
курыт еджапIэ,70
Президент Путин,70
мыхьэнэ зиIэ,69
узыншагъэр хъумэнымкIэ,69
Iэмал имыIэу,68
махуэ къэс,68
фIы дыдэу,67
2021 гъэм,67
Адыгэ Республикэм,65
Дунейпсо Адыгэ,65
2022 гъэм,65
сыту жыпIэмэ,64
УнафэщI Егоровэ,63
псалъэм папщIэ,63
Сыт хуэдэ,62
командэ къыхэхам,59
Къэрал Думэм,59
илъэс куэдкIэ,57
сом мелард,57
цIыху мин,57
мыхьэнэшхуэ зиIэ,56
Абыхэм ящыщщ,56
щыIэ МВД-м,53
мыхьэнэшхуэ иIэщ,53
курыт еджапIэм,53
Адыгэ псалъэ,53
2018 гъэм,52
абыхэм ящыщу,52
къуажэм дэт,51
кIуэцI IуэхухэмкIэ,51
Совет Союзым,50
Налшык дэт,50
КъБР-м щыIэм,50
фIэщ мэхъу,50
щыпсэу лъэпкъхэм,49
лъэпкъ проектым,49
хамэ къэрал,49
жыпIэ хъунущ,49
кIуэ пэтми,49
Абыхэм ящыщу,48
жиIащ абы,48
сытым дежи,47
шэч хэлъкъым,47
2023 гъэм,47
щIэныгъэмрэ щIалэгъуалэм,46
Мусуков Алий,46
хамэ къэралхэм,46
Фигу къэдгъэкIыжынщи,45
Абы щыгъуэми,45
сом меларди,44
гъэ лъандэрэ,44
еджапIэ нэхъыщхьэхэм,43
хуей хъуащ,43
Узыншагъэр хъумэнымкIэ,43
жылагъуэ зэгухьэныгъэхэм,43
Iэмал иIэкъым,42
илъэси 100,42
мыхьэнэшхуэ зэриIэр,42
УнафэщI Мусуков,42
дыщэ медалыр,42
икIи абыхэм,42
къалэ дэт,42
щIыналъэ къудамэм,42
шэч хэмылъу,41
жагъуэ зэрыхъунщи,41
къэрал кIуэцI,41
Ауэ щыхъукIи,41
сом мелуани,41
япэ увыпIэр,40
федеральнэ щIыналъэм,40
ящыщ зыщ,40
гъэ пщIондэ,40
лъэпкъ проектхэр,39
ЗэIущIэм хэтащ,39
пIалъэкIэ зыгъэзащIэ,38
Урысей гвардием,38
курыт школ,38
къалэнхэр пIалъэкIэ,38
Осетие Ищхъэрэ,38
нобэр къыздэсым,37
Сыту жыпIэмэ,37
Федеральнэ Зэхуэсым,37
сом мин,37
щхьэкIэ жыпIэмэ,36
иджыри къэс,36
адыгэ лъэпкъым,36
цIэр зэрихьэу,36
махуэм ирихьэлIэу,36
щIыпIэ унафэр,36
илъэс куэд,36
Абы щыгъуэ,36
КъБР-м щэнхабзэмкIэ,35
къалэнхэр зыгъэзащIэ,35
цIыху куэд,35
Псори зэхэту,35
Абы щыгъуэм,35
дэтхэнэ зыми,35
федеральнэ округым,35
Абы иужькIэ,35
лэжьыгъэ IуэхукIэ,34
Шэч хэмылъу,34
Абы папщIэ,34
щIыналъэм хыхьэ,34
абы щыгъуэм,33
щытын хуейщ,33
ику иту,33
Бахъсэн къалэм,32
щыхьэт техъуэ,32
илъэс зыбжанэ,32
лъагэ зиIэ,32
дызэрыт илъэсым,32
зыхуей хуэзэу,32
ЩIы Хъурейм,32
хъун папщIэ,31
редактор нэхъыщхьэ,31
КъБР-м узыншагъэр,31
Сэхъурокъуэ Хьэутий,31
удз гъэгъахэр,31
ЩоджэнцIыкIу Алий,31
жиIащ КIуэкIуэ,31
гугъу тщIа,31
жагъуэ зэрыхъущи,31
2012 гъэм,30
къэрал программэм,30
Абы къищынэмыщIауэ,30
гугъу пщIымэ,30
псом япэу,30
драмэ театрым,30
дежкIэ мыхьэнэшхуэ,30
Жылагъуэ палатэм,30
япэ къуэдзэ,30
зезыхьэ Къэбэрдей-Балъкъэр,30
ХьэфIыцIэ Мухьэмэд,29
Бахъсэн щIыналъэм,29
полномочнэ лIыкIуэу,29
Элинэ трихащ,29
жиIащ КъБР-м,29
щыхьэт тохъуэ,29
нэхъ пасэу,28
Федерацэм футболымкIэ,28
цIыхубэ артист,28
гурэ псэкIэ,28
къэрал драмэ,28
КъБР-м щIыхь,28
ауэ абы,27
Абы ипкъ,27
куэдкIэ нэхъ,27
нэхъ псынщIэу,27
щиIэ къудамэм,27
Фырэ Анфисэ,27
етIуанэ дивизионым,27
Лъэпкъ музейм,27
жылагъуэ зэгухьэныгъэм,27
дунейм ехыжащ,27
Iуащхьэмахуэ лъапэ,26
гъэм абы,26
цIэ лъапIэр,26
Къумахуэ Мухьэдин,26
Дызэрыт илъэсым,26
икIи ахэр,26
Урысей зэкъуэт,26
2017 гъэм,26
абы щыгъуэ,26
Къалэбатэ Рустам,26
гугъу ищIащ,26
Олимп джэгухэм,26
Олимп Джэгухэм,25
Къэбэрдей Адыгэ,25
куэд дыдэ,25
гъэм къыщыщIэдзауэ,25
2024 гъэм,25
щIыналъэ администрацэм,25
Къарей Элинэ,24
нэгъуэщI къэралхэм,24
иджыблагъэ щекIуэкIащ,24
зэхъуэкIыныгъэхэр хэлъхьэным,24
Абы къыдэкIуэу,24
Урысей МВД-м,24
курыт школхэм,24
иужьрей илъэсхэм,24
зыбжанэ хъуауэ,24
зыгъэзащIэ КIуэкIуэ,24
щIыпIэ администрацэм,24
Дуней псом,24
курыт еджапIэхэм,24
гугъу щищIым,24
Iэдакъэ къыщIэкIа,24
абы теухуауэ,23
сыт щхьэкIэ,23
гъэм щегъэжьауэ,23
хабзэубзыху орган,23
Ставрополь крайм,23
щрикъум ирихьэлIэу,23
Абы къыхигъэщащ,23
Абыхэм ящыщ,23
ещанэ увыпIэр,23
Къэрал кIуэцI,23
чемпион хъуащ,23
программэм ипкъ,23
гъэм фокIадэм,23
щIыпIэ куэдым,23
Бахъсэн районым,23
КIуэкIуэ Казбекрэ,23
къалэ округым,23
гъэм ирихьэлIэу,22
щIэныгъэхэмкIэ доктор,22
метр зэбгъузэнатIэ,22
Чайкэ Юрий,22
Тэрч щIыналъэм,22
зэманым къриубыдэу,22
Бахъсэн къалэ,22
яку дэлъ,22
Ауэ абы,22
Павлов Василий,22
Езауэ Анзор,22
къалэн нэхъыщхьэр,22
егъэджэныгъэ IэнатIэм,22
мэкъумэш IэнатIэм,22
дыжьын медалыр,22
Штат Зэгуэтхэм,21
проектым ипкъ,21
цIыху мини,21
Къэбэрдей къэрал,21
Жылагъуэ советым,21
районым хыхьэ,21
кIэщIым къриубыдэу,21
бэнэкIэ хуитымкIэ,21
курыт школым,21
Къэбэрдей-Балъкъэрым щыщ,21
ЗэIущIэм щытепсэлъыхьащ,21
игу къегъэкIыж,21
2010 гъэм,21
лъэпкъ IуэхухэмкIэ,21
къэрал властым,21
дзэ Iуэху,20
Iуэху хэхам,20
2016 гъэм,20
абыхэм ящыщ,20
мазэ къэс,20
фIыщIэ хуищIащ,20
Къуэдзокъуэ Мухьэмэд,20
щыпсэу адыгэхэм,20
Сыт щхьэкIэ,20
ЩIалэгъуалэ палатэм,20
гъэм щIышылэм,20
къалэ администрацэм,20
щыт пэтми,20
нэхъ тыншу,20
шэч къытесхьэркъым,20
лIыкIуэу Кавказ,20
Музыкэ театрым,19
нэхъыбэ хъуащ,19
Iуэху еплъыкIэр,19
КIыщокъуэ Алим,19
Апхуэдэ щIыкIэкIэ,19
министр Къалэбатэ,19
Прохладнэ къалэм,19
ЦIыхухэр егъэджэнымкIэ,19
Псалъэм къыдэкIуэу,19
дунейпсо чемпион,19
Совет Нэхъыщхьэм,19
экономикэ зыужьыныгъэмкIэ,19
гъэм бадзэуэгъуэм,19
жыджэру хэтащ,19
проектым хыхьэу,19
нэхъ куууэ,19
ижь-ижьыж лъандэрэ,19
дыкъэзыухъуреихь дунейм,19
орган нэхъыщхьэм,19
щIыхь тхылъхэр,19
етIуанэ увыпIэр,19
тонн мин,19
IуэхухэмкIэ министру,18
зезыхьэ Къэбэрдей,18
гъэ къэс,18
тхылъ тедзапIэм,18
тхьэмадэ Сэхъурокъуэ,18
Абы жиIащ,18
адыгэ хабзэм,18
хъыбарегъащIэ IэнатIэхэм,18
къудей мыхъуу,18
2008 гъэм,18
къэрал институтым,18
щIыналъэ псоми,18
тренер нэхъыщхьэ,18
мащIэ дыдэщ,18
абы къыхэкIыу,18
цIэр фIыкIэ,18
жыджэру хэтщ,18
дунейпсо чемпионатым,18
КъБР-м Узыншагъэр,18
япэ дивизионым,18
щытыкIэ гугъум,18
илъэс мин,18
щIэныгъэ нэхъыщхьэ,18
псом нэхърэ,18
бюджетым къыхэкIыу,18
алыдж-урым бэнэкIэмкIэ,17
Апхуэдэу щыт,17
нэгъуэщIу жыпIэмэ,17
цIэр зезыхьэм,17
къалэн нэхъыщхьэхэм,17
хабзэм тету,17
гъэм дыгъэгъазэм,17
1942 гъэм,17
лъэ быдэкIэ,17
Iус Ростов,17
къанэ щымыIэу,17
илъэс 75-рэ,17
2015 гъэм,17
Хъубий Марат,17
зэхэту сом,17
