w_bigram,freq
нэхърэ нэхъ,216
сыт хуэдэ,213
сыт щыгъуи,209
куэд щIауэ,149
фIы дыдэу,131
Iэмал имыIэу,131
дэнэ къэна,128
абы щыгъуэ,126
Сыт хуэдэ,125
иджыри къэс,122
ящыщ зым,121
махуэ къэс,112
Псалъэм папщIэ,109
щIыхь зиIэ,105
сыту жыпIэмэ,102
Ауэ абы,96
псалъэм папщIэ,93
абы щхьэкIэ,92
Абы щыгъуэ,90
Псом хуэмыдэу,89
дуней псом,87
ЩоджэнцIыкIу Алий,86
ауэ абы,79
псом хуэмыдэу,78
нобэр къыздэсым,75
Сыт щхьэкIэ,73
КIыщокъуэ Алим,72
япэ дыдэу,71
щIалэ цIыкIур,69
щIалэ цIыкIум,69
щIалэ цIыкIу,67
сыт щхьэкIэ,66
нэхъ мыхъуми,66
сыт хуэдиз,65
ауэ сытми,64
Iэмал иIэкъым,62
кIуэ пэтми,61
цIэр зезыхьэ,61
Хэку зауэшхуэм,58
адыгэ литературэм,58
щхьэкIэ жыпIэмэ,57
дунейм къытехьащ,56
гугъу тщIы,55
щыхьэт тохъуэ,55
псы Iуфэм,55
ныбжьыр илъэс,54
Кавказ Ищхъэрэм,53
Абы хэту,53
лъэпкъ литературэм,52
ящыщ зыщ,52
фIэщ хъуркъым,51
зыр зым,51
хъыджэбз цIыкIу,51
Урысей Федерацэм,51
Абы щхьэкIэ,49
филологие щIэныгъэхэм,49
жиIащ абы,49
адыгэ лъэпкъым,48
шэч хэлъкъым,48
япэ дыдэ,47
илъэс куэдкIэ,47
гурэ псэкIэ,47
нэхъ мащIэ,47
жыпIэ хъунущ,47
икIи абы,47
КIэщIу жыпIэмэ,46
махуэ гуэрым,46
дунейм ехыжащ,46
ипкъ иткIэ,45
шэч хэмылъу,45
сытым дежи,44
абы нэхъ,44
куэдкIэ нэхъ,44
щытын хуейщ,44
хъыджэбз цIыкIум,43
хуей хъуащ,43
тхылъ тедзапIэм,43
щыщ пычыгъуэхэр,42
цIэ лъапIэр,42
зыри жимыIэу,41
IутIыж Борис,41
псом япэ,41
абы теухуауэ,41
дэтхэнэ зыми,40
пэж дыдэу,40
жыхуаIэм хуэдэу,40
Куэд дэмыкIыу,39
псом нэхърэ,39
ЕтIуанэ махуэм,38
Пэж дыдэу,38
Абыхэм ящыщ,38
куэд дыдэ,38
абы лъандэрэ,38
псом япэу,37
хъыджэбз цIыкIур,37
мурад ищIащ,37
Нало Заур,37
нэхъ псынщIэу,36
жагъуэ зэрыхъущи,36
абыхэм ящыщ,36
япэ щIыкIэ,35
Сыт къэхъуар,35
къызэралъхурэ илъэс,35
махуэ псом,35
Абы щыгъуэми,34
Адыгэ Хасэм,34
Iэдакъэ къыщIэкIащ,33
хамэ къэрал,33
Иджыри къэс,33
нэгу щIэкIа,33
Сыту пIэрэ,33
цIэкIэ щыIэ,32
Дунейпсо Адыгэ,32
уэрэ сэрэ,32
Ауэ сыт,32
сыт хуэдэу,32
гъэм къыщыщIэдзауэ,31
гъэм дунейм,31
унафэ ищIащ,31
Хэт ищIэрэ,31
Тхьэм ещIэ,31
Адыгэ псалъэ,31
нэхъ дэмыкIыу,30
цIыхубэ тхакIуэ,30
нэхъри нэхъ,30
хуей мэхъу,30
Къэбэрдей-Балъкъэр Республикэм,30
Ауэ щыхъукIэ,30
Литературэ щIэныгъэ,30
нэгъуэщIу жыпIэмэ,29
КIуащ БетIал,29
Хьэвжокъуэ Людмилэ,29
Къэрмокъуэ Хьэмид,29
редактор нэхъыщхьэ,29
зыр адрейм,28
пэтми нэхъ,28
Сабийхэм папщIэ,28
Налшык къалэ,28
фIэкIа умыщIэну,28
Сыт хуэдиз,27
Шортэн Аскэрбий,27
жэуап зыхь,27
фIэщ мэхъу,27
Iуэхур зытетыр,27
Iэдакъэ къыщIэкIа,27
Дэнэ щыIэ,27
Ауэ сытми,26
къэрал университетым,26
Абы къыхэкIыу,26
дыдэм хуэдэу,26
Тхьэгъэзит Зубер,26
цIыхубэ усакIуэ,26
дунейм ехыжа,26
Къэбэрдей-Балъкъэр къэрал,26
Псом нэхърэ,26
абы зыри,26
гугъу пщIымэ,26
игу къэкIыжащ,25
яку дэлъ,25
Ауэ щыхъукIи,25
удз гъэгъа,25
Мис абы,25
Мыр сыт,25
гъэ лъандэрэ,25
хужаIахэм щыщ,25
гум илъыр,24
цIыхубэ артист,24
ХьэфIыцIэ Мухьэмэд,24
ужь иту,24
хуейуэ аращ,24
Абы иужькIэ,24
Мис иджы,24
хэт ищIэрэ,24
Сыт щыгъуи,23
Iуэху еплъыкIэр,23
ЩоджэнцIыкIу Iэдэм,23
НэгъуэщIу жыпIэмэ,23
фIыуэ илъагъу,23
ижь-ижьыж лъандэрэ,23
ХьэкIуащэ Андрей,23
дуней псор,23
жагъуэ зэрыхъунщи,23
Елгъэр Кашиф,23
щыпсэу адыгэхэм,23
нэгъуэщI мыхъуми,23
ящыщ зыуэ,23
дунейм къытехьа,23
нэхъ лъапIэ,23
куэд дэмыкIыу,23
Абыхэм ящыщщ,23
Абы лъандэрэ,22
Iуэхур зыIутыр,22
къиуха нэужь,22
нэхъ тэмэму,22
адыгэ хабзэм,22
къанэ щымыIэу,22
Теунэ Хьэчим,22
нэхъ пасэу,22
Сыту фIыт,22
гъащIэ псор,22
сыту пIэрэ,22
илъэс зыбжанэкIэ,21
хабзэм тету,21
Куэд щIауэ,21
нэгу щIэкIащ,21
абы нэхърэ,21
илъэс куэд,20
